Sep Time,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph), , , , , , 
1,85.0,75.0,65.0,72.0,67.0,64.0,93.0,nan,55.0,26.0,nan,0.0,nan,nan,nan,nan,nan,nan
2,79.0,70.0,60.0,66.0,61.0,53.0,90.0,nan,56.0,15.0,nan,5.0,nan,nan,nan,nan,nan,nan
3,77.0,67.0,57.0,55.0,53.0,52.0,80.0,nan,43.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
4,84.0,72.0,59.0,60.0,57.0,55.0,87.0,nan,40.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
5,74.0,67.0,59.0,67.0,56.0,45.0,90.0,nan,38.0,18.0,nan,0.0,nan,nan,nan,nan,nan,nan
6,86.0,72.0,57.0,64.0,57.0,48.0,86.0,nan,43.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
7,88.0,77.0,65.0,66.0,63.0,56.0,87.0,nan,34.0,20.0,nan,0.0,nan,nan,nan,nan,nan,nan
8,77.0,74.0,71.0,70.0,66.0,64.0,90.0,nan,69.0,18.0,nan,4.0,nan,nan,nan,nan,nan,nan
9,94.0,81.0,68.0,73.0,69.0,65.0,87.0,nan,49.0,16.0,nan,5.0,nan,nan,nan,nan,nan,nan
10,95.0,86.0,77.0,69.0,64.0,62.0,67.0,nan,36.0,24.0,nan,7.0,nan,nan,nan,nan,nan,nan
11,91.0,83.0,75.0,68.0,66.0,62.0,79.0,nan,46.0,17.0,nan,0.0,nan,nan,nan,nan,nan,nan
12,82.0,72.0,62.0,67.0,59.0,50.0,87.0,nan,33.0,25.0,nan,0.0,nan,nan,nan,nan,nan,nan
13,67.0,60.0,52.0,54.0,45.0,41.0,72.0,nan,42.0,20.0,nan,5.0,nan,nan,nan,nan,nan,nan
14,72.0,60.0,47.0,48.0,43.0,38.0,86.0,nan,29.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
15,62.0,59.0,56.0,58.0,53.0,40.0,93.0,nan,46.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
16,64.0,58.0,51.0,56.0,49.0,45.0,89.0,nan,56.0,18.0,nan,4.0,nan,nan,nan,nan,nan,nan
17,71.0,60.0,49.0,56.0,50.0,45.0,89.0,nan,52.0,14.0,nan,4.0,nan,nan,nan,nan,nan,nan
18,81.0,71.0,60.0,68.0,61.0,51.0,84.0,nan,54.0,22.0,nan,4.0,nan,nan,nan,nan,nan,nan
19,84.0,77.0,69.0,72.0,69.0,64.0,93.0,nan,65.0,23.0,nan,0.0,nan,nan,nan,nan,nan,nan
20,76.0,67.0,58.0,66.0,61.0,51.0,93.0,nan,60.0,21.0,nan,5.0,nan,nan,nan,nan,nan,nan
21,67.0,60.0,52.0,53.0,47.0,43.0,93.0,nan,52.0,18.0,nan,6.0,nan,nan,nan,nan,nan,nan
22,67.0,58.0,49.0,50.0,46.0,44.0,80.0,nan,52.0,14.0,nan,4.0,nan,nan,nan,nan,nan,nan
23,67.0,57.0,46.0,53.0,47.0,43.0,86.0,nan,48.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
24,70.0,60.0,49.0,54.0,48.0,45.0,86.0,nan,44.0,16.0,nan,4.0,nan,nan,nan,nan,nan,nan
25,70.0,61.0,51.0,55.0,52.0,49.0,93.0,nan,52.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
26,75.0,63.0,50.0,56.0,52.0,44.0,93.0,nan,35.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
27,81.0,67.0,52.0,55.0,51.0,45.0,93.0,nan,35.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
28,84.0,70.0,55.0,66.0,55.0,49.0,86.0,nan,37.0,25.0,nan,6.0,nan,nan,nan,nan,nan,nan
29,68.0,60.0,51.0,64.0,52.0,42.0,100.0,nan,39.0,20.0,nan,0.0,nan,nan,nan,nan,nan,nan
30,74.0,61.0,47.0,54.0,48.0,43.0,93.0,nan,33.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
