May Time,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph), , , , , , 
1,49.0,46.0,42.0,41.0,38.0,34.0,83.0,nan,70.0,23.0,nan,8.0,nan,nan,nan,nan,nan,nan
2,53.0,50.0,46.0,41.0,40.0,38.0,82.0,nan,59.0,21.0,nan,8.0,nan,nan,nan,nan,nan,nan
3,67.0,57.0,46.0,42.0,37.0,33.0,76.0,nan,29.0,29.0,nan,7.0,nan,nan,nan,nan,nan,nan
4,58.0,51.0,44.0,35.0,29.0,24.0,48.0,nan,30.0,16.0,nan,5.0,nan,nan,nan,nan,nan,nan
5,55.0,49.0,43.0,36.0,33.0,27.0,70.0,nan,45.0,21.0,nan,9.0,nan,nan,nan,nan,nan,nan
6,63.0,52.0,41.0,37.0,35.0,31.0,70.0,nan,37.0,22.0,nan,7.0,nan,nan,nan,nan,nan,nan
7,78.0,63.0,48.0,52.0,42.0,33.0,71.0,nan,40.0,22.0,nan,0.0,nan,nan,nan,nan,nan,nan
8,89.0,70.0,51.0,60.0,54.0,44.0,71.0,nan,28.0,39.0,nan,0.0,nan,nan,nan,nan,nan,nan
9,73.0,64.0,54.0,62.0,55.0,41.0,87.0,nan,41.0,28.0,nan,8.0,nan,nan,nan,nan,nan,nan
10,77.0,62.0,47.0,44.0,41.0,38.0,77.0,nan,27.0,18.0,nan,0.0,nan,nan,nan,nan,nan,nan
11,81.0,67.0,52.0,61.0,54.0,41.0,84.0,nan,45.0,24.0,nan,5.0,nan,nan,nan,nan,nan,nan
12,84.0,74.0,64.0,71.0,65.0,58.0,100.0,nan,55.0,49.0,nan,4.0,nan,nan,nan,nan,nan,nan
13,67.0,60.0,53.0,65.0,56.0,43.0,100.0,nan,66.0,20.0,nan,5.0,nan,nan,nan,nan,nan,nan
14,56.0,50.0,44.0,43.0,38.0,33.0,83.0,nan,46.0,21.0,nan,6.0,nan,nan,nan,nan,nan,nan
15,55.0,48.0,40.0,41.0,36.0,30.0,83.0,nan,50.0,24.0,nan,6.0,nan,nan,nan,nan,nan,nan
16,46.0,42.0,37.0,36.0,33.0,30.0,85.0,nan,65.0,15.0,nan,4.0,nan,nan,nan,nan,nan,nan
17,60.0,50.0,39.0,36.0,33.0,28.0,85.0,nan,33.0,17.0,nan,4.0,nan,nan,nan,nan,nan,nan
18,69.0,58.0,47.0,39.0,36.0,32.0,60.0,nan,31.0,18.0,nan,7.0,nan,nan,nan,nan,nan,nan
19,69.0,57.0,45.0,45.0,40.0,37.0,71.0,nan,34.0,30.0,nan,5.0,nan,nan,nan,nan,nan,nan
20,85.0,74.0,62.0,65.0,58.0,43.0,81.0,nan,44.0,22.0,nan,4.0,nan,nan,nan,nan,nan,nan
21,86.0,75.0,63.0,64.0,58.0,44.0,87.0,nan,30.0,21.0,nan,0.0,nan,nan,nan,nan,nan,nan
22,70.0,62.0,53.0,49.0,47.0,44.0,71.0,nan,47.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
23,69.0,59.0,48.0,46.0,43.0,37.0,77.0,nan,42.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
24,74.0,61.0,47.0,45.0,42.0,39.0,71.0,nan,35.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
25,83.0,67.0,50.0,50.0,45.0,40.0,74.0,nan,28.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
26,87.0,74.0,61.0,65.0,59.0,52.0,79.0,nan,40.0,24.0,nan,4.0,nan,nan,nan,nan,nan,nan
27,85.0,72.0,58.0,64.0,61.0,55.0,93.0,nan,44.0,22.0,nan,0.0,nan,nan,nan,nan,nan,nan
28,71.0,64.0,56.0,59.0,50.0,44.0,90.0,nan,44.0,20.0,nan,0.0,nan,nan,nan,nan,nan,nan
29,76.0,65.0,54.0,56.0,50.0,45.0,77.0,nan,46.0,18.0,nan,4.0,nan,nan,nan,nan,nan,nan
30,79.0,66.0,53.0,53.0,49.0,44.0,77.0,nan,35.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
31,88.0,71.0,54.0,53.0,50.0,47.0,77.0,nan,26.0,18.0,nan,0.0,nan,nan,nan,nan,nan,nan
