Jun Time,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph), , , , , , 
1,80.0,65.0,50.0,53.0,50.0,46.0,93.0,nan,32.0,20.0,nan,0.0,nan,nan,nan,nan,nan,nan
2,76.0,66.0,56.0,59.0,54.0,50.0,90.0,nan,49.0,18.0,nan,4.0,nan,nan,nan,nan,nan,nan
3,73.0,67.0,60.0,63.0,61.0,57.0,100.0,nan,68.0,13.0,nan,5.0,nan,nan,nan,nan,nan,nan
4,86.0,72.0,57.0,67.0,63.0,57.0,100.0,nan,51.0,35.0,nan,0.0,nan,nan,nan,nan,nan,nan
5,87.0,78.0,68.0,67.0,63.0,57.0,79.0,nan,39.0,23.0,nan,0.0,nan,nan,nan,nan,nan,nan
6,89.0,78.0,66.0,60.0,57.0,52.0,78.0,nan,29.0,23.0,nan,0.0,nan,nan,nan,nan,nan,nan
7,92.0,77.0,61.0,67.0,62.0,57.0,90.0,nan,41.0,18.0,nan,0.0,nan,nan,nan,nan,nan,nan
8,89.0,78.0,66.0,70.0,65.0,63.0,84.0,nan,46.0,18.0,nan,0.0,nan,nan,nan,nan,nan,nan
9,89.0,77.0,64.0,67.0,63.0,61.0,87.0,nan,45.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
10,88.0,78.0,67.0,71.0,68.0,63.0,93.0,nan,50.0,26.0,nan,0.0,nan,nan,nan,nan,nan,nan
11,88.0,80.0,72.0,70.0,67.0,66.0,87.0,nan,50.0,20.0,nan,5.0,nan,nan,nan,nan,nan,nan
12,80.0,75.0,70.0,68.0,66.0,63.0,84.0,nan,60.0,14.0,nan,4.0,nan,nan,nan,nan,nan,nan
13,89.0,78.0,67.0,72.0,65.0,59.0,93.0,nan,40.0,17.0,nan,0.0,nan,nan,nan,nan,nan,nan
14,80.0,74.0,67.0,64.0,60.0,56.0,81.0,nan,48.0,24.0,nan,7.0,nan,nan,nan,nan,nan,nan
15,70.0,64.0,58.0,61.0,58.0,55.0,93.0,nan,66.0,24.0,nan,4.0,nan,nan,nan,nan,nan,nan
16,79.0,66.0,53.0,56.0,47.0,42.0,93.0,nan,28.0,18.0,nan,0.0,nan,nan,nan,nan,nan,nan
17,70.0,61.0,51.0,51.0,49.0,46.0,89.0,nan,48.0,18.0,nan,0.0,nan,nan,nan,nan,nan,nan
18,71.0,62.0,53.0,55.0,50.0,49.0,87.0,nan,51.0,15.0,nan,5.0,nan,nan,nan,nan,nan,nan
19,78.0,64.0,52.0,57.0,53.0,50.0,100.0,nan,45.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
20,86.0,69.0,52.0,56.0,54.0,52.0,100.0,nan,37.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
21,89.0,75.0,60.0,63.0,58.0,52.0,78.0,nan,40.0,17.0,nan,0.0,nan,nan,nan,nan,nan,nan
22,85.0,72.0,59.0,54.0,45.0,33.0,72.0,nan,17.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
23,93.0,77.0,60.0,68.0,60.0,49.0,78.0,nan,35.0,17.0,nan,0.0,nan,nan,nan,nan,nan,nan
24,96.0,86.0,76.0,69.0,64.0,59.0,79.0,nan,29.0,21.0,nan,4.0,nan,nan,nan,nan,nan,nan
25,91.0,80.0,69.0,68.0,66.0,61.0,84.0,nan,47.0,18.0,nan,0.0,nan,nan,nan,nan,nan,nan
26,93.0,82.0,70.0,69.0,66.0,59.0,84.0,nan,41.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
27,95.0,82.0,68.0,69.0,65.0,60.0,90.0,nan,31.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
28,94.0,85.0,76.0,68.0,64.0,58.0,74.0,nan,33.0,20.0,nan,0.0,nan,nan,nan,nan,nan,nan
29,90.0,82.0,73.0,70.0,67.0,65.0,82.0,nan,44.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
30,91.0,82.0,72.0,71.0,64.0,57.0,87.0,nan,32.0,23.0,nan,6.0,nan,nan,nan,nan,nan,nan
