May Time,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph), , , , , , 
1,86.0,73.0,60.0,49.0,42.0,32.0,39.0,nan,25.0,29.0,nan,9.0,nan,nan,nan,nan,nan,nan
2,86.0,75.0,63.0,65.0,58.0,49.0,87.0,nan,37.0,36.0,nan,0.0,nan,nan,nan,nan,nan,nan
3,70.0,62.0,54.0,63.0,58.0,50.0,93.0,nan,63.0,24.0,nan,0.0,nan,nan,nan,nan,nan,nan
4,74.0,68.0,61.0,61.0,53.0,44.0,84.0,nan,35.0,33.0,nan,6.0,nan,nan,nan,nan,nan,nan
5,82.0,70.0,57.0,46.0,43.0,39.0,67.0,nan,24.0,22.0,nan,0.0,nan,nan,nan,nan,nan,nan
6,68.0,59.0,50.0,45.0,42.0,38.0,66.0,nan,37.0,22.0,nan,0.0,nan,nan,nan,nan,nan,nan
7,75.0,61.0,46.0,43.0,40.0,37.0,71.0,nan,31.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
8,81.0,69.0,57.0,43.0,41.0,38.0,55.0,nan,25.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
9,81.0,69.0,57.0,63.0,53.0,39.0,80.0,nan,40.0,26.0,nan,5.0,nan,nan,nan,nan,nan,nan
10,73.0,62.0,50.0,54.0,52.0,46.0,86.0,nan,46.0,18.0,nan,5.0,nan,nan,nan,nan,nan,nan
11,52.0,49.0,45.0,46.0,40.0,34.0,86.0,nan,56.0,23.0,nan,10.0,nan,nan,nan,nan,nan,nan
12,50.0,47.0,44.0,44.0,43.0,41.0,93.0,nan,74.0,22.0,nan,4.0,nan,nan,nan,nan,nan,nan
13,67.0,56.0,45.0,55.0,48.0,42.0,93.0,nan,67.0,18.0,nan,0.0,nan,nan,nan,nan,nan,nan
14,83.0,68.0,53.0,65.0,58.0,49.0,93.0,nan,51.0,24.0,nan,0.0,nan,nan,nan,nan,nan,nan
15,71.0,61.0,51.0,62.0,54.0,38.0,93.0,nan,51.0,22.0,nan,0.0,nan,nan,nan,nan,nan,nan
16,79.0,63.0,47.0,55.0,44.0,39.0,76.0,nan,28.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
17,69.0,61.0,52.0,49.0,46.0,41.0,77.0,nan,52.0,20.0,nan,0.0,nan,nan,nan,nan,nan,nan
18,65.0,59.0,52.0,57.0,49.0,42.0,93.0,nan,52.0,17.0,nan,7.0,nan,nan,nan,nan,nan,nan
19,69.0,62.0,54.0,60.0,56.0,53.0,93.0,nan,68.0,23.0,nan,0.0,nan,nan,nan,nan,nan,nan
20,55.0,50.0,44.0,53.0,43.0,39.0,93.0,nan,71.0,24.0,nan,6.0,nan,nan,nan,nan,nan,nan
21,64.0,57.0,49.0,60.0,52.0,42.0,93.0,nan,74.0,18.0,nan,0.0,nan,nan,nan,nan,nan,nan
22,67.0,61.0,54.0,58.0,54.0,50.0,100.0,nan,67.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
23,80.0,66.0,52.0,57.0,51.0,47.0,96.0,nan,32.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
24,87.0,73.0,58.0,55.0,54.0,52.0,80.0,nan,34.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
25,89.0,78.0,67.0,65.0,57.0,51.0,69.0,nan,29.0,17.0,nan,5.0,nan,nan,nan,nan,nan,nan
26,90.0,80.0,70.0,65.0,61.0,58.0,79.0,nan,37.0,13.0,nan,4.0,nan,nan,nan,nan,nan,nan
27,97.0,84.0,70.0,68.0,62.0,55.0,79.0,nan,27.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
28,95.0,83.0,70.0,66.0,61.0,57.0,73.0,nan,33.0,31.0,nan,0.0,nan,nan,nan,nan,nan,nan
29,87.0,77.0,66.0,65.0,60.0,54.0,73.0,nan,51.0,20.0,nan,4.0,nan,nan,nan,nan,nan,nan
30,86.0,77.0,67.0,70.0,66.0,57.0,93.0,nan,59.0,21.0,nan,4.0,nan,nan,nan,nan,nan,nan
31,89.0,79.0,69.0,68.0,65.0,62.0,90.0,nan,43.0,18.0,nan,4.0,nan,nan,nan,nan,nan,nan
