Jan Time,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph), , , , , , 
1,25.0,18.0,11.0,9.0,4.0,1.0,73.0,nan,36.0,14.0,nan,4.0,nan,nan,nan,nan,nan,nan
2,30.0,20.0,10.0,15.0,8.0,1.0,73.0,nan,42.0,16.0,nan,4.0,nan,nan,nan,nan,nan,nan
3,29.0,24.0,18.0,24.0,19.0,13.0,85.0,nan,69.0,17.0,nan,7.0,nan,nan,nan,nan,nan,nan
4,36.0,25.0,13.0,22.0,16.0,8.0,84.0,nan,52.0,25.0,nan,7.0,nan,nan,nan,nan,nan,nan
5,39.0,29.0,18.0,34.0,27.0,16.0,100.0,nan,54.0,22.0,nan,4.0,nan,nan,nan,nan,nan,nan
6,36.0,27.0,18.0,33.0,22.0,18.0,92.0,nan,63.0,22.0,nan,0.0,nan,nan,nan,nan,nan,nan
7,41.0,28.0,15.0,26.0,21.0,14.0,92.0,nan,45.0,25.0,nan,5.0,nan,nan,nan,nan,nan,nan
8,44.0,32.0,21.0,29.0,26.0,21.0,92.0,nan,45.0,17.0,nan,4.0,nan,nan,nan,nan,nan,nan
9,50.0,39.0,27.0,31.0,25.0,19.0,82.0,nan,31.0,33.0,nan,0.0,nan,nan,nan,nan,nan,nan
10,45.0,34.0,22.0,41.0,30.0,20.0,100.0,nan,45.0,21.0,nan,0.0,nan,nan,nan,nan,nan,nan
11,52.0,46.0,39.0,52.0,48.0,42.0,100.0,nan,81.0,22.0,nan,6.0,nan,nan,nan,nan,nan,nan
12,53.0,42.0,30.0,47.0,34.0,25.0,85.0,nan,62.0,24.0,nan,5.0,nan,nan,nan,nan,nan,nan
13,30.0,26.0,22.0,28.0,19.0,6.0,92.0,nan,81.0,14.0,nan,6.0,nan,nan,nan,nan,nan,nan
14,25.0,19.0,12.0,12.0,9.0,6.0,80.0,nan,55.0,9.0,nan,0.0,nan,nan,nan,nan,nan,nan
15,31.0,22.0,12.0,16.0,13.0,10.0,88.0,nan,47.0,7.0,nan,0.0,nan,nan,nan,nan,nan,nan
16,36.0,26.0,16.0,27.0,21.0,13.0,88.0,nan,52.0,26.0,nan,0.0,nan,nan,nan,nan,nan,nan
17,33.0,27.0,20.0,29.0,14.0,4.0,85.0,nan,35.0,18.0,nan,4.0,nan,nan,nan,nan,nan,nan
18,43.0,31.0,19.0,28.0,22.0,13.0,84.0,nan,51.0,25.0,nan,0.0,nan,nan,nan,nan,nan,nan
19,47.0,38.0,28.0,36.0,28.0,2.0,85.0,nan,31.0,29.0,nan,12.0,nan,nan,nan,nan,nan,nan
20,28.0,21.0,13.0,11.0,-1.0,-16.0,71.0,nan,18.0,28.0,nan,8.0,nan,nan,nan,nan,nan,nan
21,15.0,10.0,5.0,1.0,-6.0,-11.0,63.0,nan,41.0,25.0,nan,9.0,nan,nan,nan,nan,nan,nan
22,11.0,5.0,-1.0,-7.0,-8.0,-11.0,72.0,nan,41.0,16.0,nan,6.0,nan,nan,nan,nan,nan,nan
23,23.0,17.0,10.0,14.0,5.0,-9.0,73.0,nan,41.0,24.0,nan,7.0,nan,nan,nan,nan,nan,nan
24,22.0,13.0,4.0,6.0,0.0,-6.0,69.0,nan,43.0,18.0,nan,0.0,nan,nan,nan,nan,nan,nan
25,29.0,24.0,18.0,18.0,14.0,4.0,92.0,nan,45.0,17.0,nan,7.0,nan,nan,nan,nan,nan,nan
26,28.0,21.0,13.0,17.0,8.0,3.0,74.0,nan,38.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
27,37.0,30.0,23.0,36.0,25.0,17.0,100.0,nan,63.0,24.0,nan,8.0,nan,nan,nan,nan,nan,nan
28,48.0,43.0,37.0,48.0,41.0,36.0,100.0,nan,76.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
29,63.0,51.0,39.0,59.0,54.0,39.0,100.0,nan,84.0,17.0,nan,0.0,nan,nan,nan,nan,nan,nan
30,44.0,33.0,21.0,42.0,28.0,14.0,100.0,nan,71.0,28.0,nan,4.0,nan,nan,nan,nan,nan,nan
31,21.0,14.0,6.0,16.0,6.0,-3.0,77.0,nan,61.0,24.0,nan,12.0,nan,nan,nan,nan,nan,nan
