Jun Time,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph), , , , , , 
1,63.0,51.0,39.0,37.0,34.0,33.0,82.0,nan,34.0,9.0,nan,0.0,nan,nan,nan,nan,nan,nan
2,68.0,54.0,39.0,50.0,42.0,37.0,93.0,nan,40.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
3,61.0,56.0,52.0,51.0,47.0,43.0,93.0,nan,56.0,15.0,nan,5.0,nan,nan,nan,nan,nan,nan
4,68.0,58.0,50.0,44.0,42.0,36.0,74.0,nan,33.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
5,78.0,62.0,48.0,48.0,45.0,42.0,80.0,nan,30.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
6,72.0,60.0,50.0,56.0,51.0,46.0,89.0,nan,45.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
7,77.0,66.0,57.0,58.0,54.0,50.0,100.0,nan,42.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
8,66.0,62.0,57.0,60.0,56.0,50.0,97.0,nan,58.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
9,75.0,65.0,55.0,55.0,53.0,50.0,93.0,nan,43.0,14.0,nan,4.0,nan,nan,nan,nan,nan,nan
10,78.0,66.0,54.0,68.0,60.0,52.0,93.0,nan,61.0,23.0,nan,0.0,nan,nan,nan,nan,nan,nan
11,68.0,60.0,53.0,65.0,53.0,50.0,100.0,nan,72.0,15.0,nan,6.0,nan,nan,nan,nan,nan,nan
12,66.0,60.0,55.0,58.0,55.0,51.0,97.0,nan,73.0,10.0,nan,6.0,nan,nan,nan,nan,nan,nan
13,70.0,64.0,57.0,60.0,58.0,57.0,100.0,nan,65.0,9.0,nan,0.0,nan,nan,nan,nan,nan,nan
14,78.0,65.0,53.0,57.0,55.0,53.0,100.0,nan,45.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
15,75.0,66.0,57.0,59.0,55.0,48.0,87.0,nan,57.0,16.0,nan,4.0,nan,nan,nan,nan,nan,nan
16,79.0,66.0,55.0,56.0,49.0,32.0,84.0,nan,34.0,13.0,nan,4.0,nan,nan,nan,nan,nan,nan
17,81.0,66.0,53.0,51.0,46.0,35.0,74.0,nan,33.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
18,90.0,74.0,57.0,66.0,60.0,52.0,97.0,nan,38.0,20.0,nan,0.0,nan,nan,nan,nan,nan,nan
19,68.0,60.0,53.0,53.0,40.0,27.0,75.0,nan,26.0,23.0,nan,5.0,nan,nan,nan,nan,nan,nan
20,73.0,60.0,46.0,48.0,40.0,35.0,90.0,nan,28.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
21,80.0,63.0,48.0,50.0,47.0,44.0,93.0,nan,30.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
22,84.0,70.0,55.0,54.0,51.0,49.0,90.0,nan,31.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
23,88.0,75.0,63.0,58.0,55.0,52.0,72.0,nan,31.0,12.0,nan,4.0,nan,nan,nan,nan,nan,nan
24,91.0,78.0,66.0,64.0,62.0,59.0,78.0,nan,35.0,16.0,nan,5.0,nan,nan,nan,nan,nan,nan
25,91.0,82.0,72.0,68.0,65.0,63.0,84.0,nan,39.0,16.0,nan,6.0,nan,nan,nan,nan,nan,nan
26,75.0,69.0,61.0,70.0,58.0,47.0,100.0,nan,40.0,22.0,nan,6.0,nan,nan,nan,nan,nan,nan
27,82.0,70.0,57.0,59.0,51.0,47.0,78.0,nan,30.0,16.0,nan,5.0,nan,nan,nan,nan,nan,nan
28,82.0,72.0,64.0,64.0,60.0,57.0,87.0,nan,45.0,17.0,nan,0.0,nan,nan,nan,nan,nan,nan
29,82.0,72.0,64.0,63.0,56.0,49.0,93.0,nan,33.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
30,84.0,70.0,59.0,57.0,54.0,51.0,87.0,nan,33.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
